city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,16
sj,2008,20,16
sj,2008,21,16
sj,2008,22,17
sj,2008,23,15
sj,2008,24,15
sj,2008,25,16
sj,2008,26,22
sj,2008,27,27
sj,2008,28,27
sj,2008,29,25
sj,2008,30,25
sj,2008,31,23
sj,2008,32,38
sj,2008,33,61
sj,2008,34,43
sj,2008,35,48
sj,2008,36,51
sj,2008,37,46
sj,2008,38,45
sj,2008,39,52
sj,2008,40,50
sj,2008,41,47
sj,2008,42,50
sj,2008,43,52
sj,2008,44,58
sj,2008,45,58
sj,2008,46,53
sj,2008,47,56
sj,2008,48,54
sj,2008,49,61
sj,2008,50,50
sj,2008,51,51
sj,2008,52,34
sj,2009,1,28
sj,2009,2,22
sj,2009,3,30
sj,2009,4,28
sj,2009,5,28
sj,2009,6,23
sj,2009,7,17
sj,2009,8,17
sj,2009,9,18
sj,2009,10,10
sj,2009,11,11
sj,2009,12,8
sj,2009,13,10
sj,2009,14,8
sj,2009,15,7
sj,2009,16,7
sj,2009,17,7
sj,2009,18,8
sj,2009,19,7
sj,2009,20,7
sj,2009,21,7
sj,2009,22,7
sj,2009,23,6
sj,2009,24,6
sj,2009,25,10
sj,2009,26,12
sj,2009,27,8
sj,2009,28,13
sj,2009,29,12
sj,2009,30,12
sj,2009,31,14
sj,2009,32,18
sj,2009,33,29
sj,2009,34,19
sj,2009,35,18
sj,2009,36,34
sj,2009,37,29
sj,2009,38,28
sj,2009,39,27
sj,2009,40,40
sj,2009,41,45
sj,2009,42,36
sj,2009,43,33
sj,2009,44,33
sj,2009,45,34
sj,2009,46,34
sj,2009,47,31
sj,2009,48,28
sj,2009,49,24
sj,2009,50,27
sj,2009,51,28
sj,2009,52,22
sj,2010,53,33
sj,2010,1,51
sj,2010,2,53
sj,2010,3,47
sj,2010,4,49
sj,2010,5,50
sj,2010,6,57
sj,2010,7,45
sj,2010,8,39
sj,2010,9,50
sj,2010,10,31
sj,2010,11,33
sj,2010,12,34
sj,2010,13,34
sj,2010,14,32
sj,2010,15,26
sj,2010,16,25
sj,2010,17,29
sj,2010,18,38
sj,2010,19,27
sj,2010,20,32
sj,2010,21,38
sj,2010,22,34
sj,2010,23,38
sj,2010,24,35
sj,2010,25,33
sj,2010,26,33
sj,2010,27,34
sj,2010,28,44
sj,2010,29,34
sj,2010,30,33
sj,2010,31,35
sj,2010,32,49
sj,2010,33,35
sj,2010,34,50
sj,2010,35,54
sj,2010,36,55
sj,2010,37,49
sj,2010,38,55
sj,2010,39,38
sj,2010,40,43
sj,2010,41,45
sj,2010,42,41
sj,2010,43,50
sj,2010,44,45
sj,2010,45,39
sj,2010,46,45
sj,2010,47,41
sj,2010,48,40
sj,2010,49,44
sj,2010,50,43
sj,2010,51,31
sj,2011,52,12
sj,2011,1,14
sj,2011,2,17
sj,2011,3,19
sj,2011,4,15
sj,2011,5,17
sj,2011,6,15
sj,2011,7,14
sj,2011,8,13
sj,2011,9,10
sj,2011,10,6
sj,2011,11,7
sj,2011,12,8
sj,2011,13,7
sj,2011,14,6
sj,2011,15,5
sj,2011,16,5
sj,2011,17,5
sj,2011,18,5
sj,2011,19,5
sj,2011,20,6
sj,2011,21,7
sj,2011,22,3
sj,2011,23,5
sj,2011,24,7
sj,2011,25,8
sj,2011,26,8
sj,2011,27,7
sj,2011,28,7
sj,2011,29,10
sj,2011,30,8
sj,2011,31,9
sj,2011,32,11
sj,2011,33,9
sj,2011,34,10
sj,2011,35,10
sj,2011,36,13
sj,2011,37,9
sj,2011,38,10
sj,2011,39,8
sj,2011,40,15
sj,2011,41,14
sj,2011,42,15
sj,2011,43,15
sj,2011,44,15
sj,2011,45,10
sj,2011,46,15
sj,2011,47,18
sj,2011,48,26
sj,2011,49,20
sj,2011,50,16
sj,2011,51,16
sj,2012,52,15
sj,2012,1,28
sj,2012,2,20
sj,2012,3,16
sj,2012,4,9
sj,2012,5,10
sj,2012,6,9
sj,2012,7,12
sj,2012,8,9
sj,2012,9,11
sj,2012,10,5
sj,2012,11,5
sj,2012,12,5
sj,2012,13,4
sj,2012,14,4
sj,2012,15,4
sj,2012,16,3
sj,2012,17,3
sj,2012,18,6
sj,2012,19,4
sj,2012,20,5
sj,2012,21,3
sj,2012,22,4
sj,2012,23,8
sj,2012,24,9
sj,2012,25,8
sj,2012,26,9
sj,2012,27,7
sj,2012,28,21
sj,2012,29,8
sj,2012,30,23
sj,2012,31,23
sj,2012,32,21
sj,2012,33,11
sj,2012,34,28
sj,2012,35,21
sj,2012,36,9
sj,2012,37,19
sj,2012,38,18
sj,2012,39,16
sj,2012,40,30
sj,2012,41,14
sj,2012,42,29
sj,2012,43,29
sj,2012,44,25
sj,2012,45,29
sj,2012,46,23
sj,2012,47,29
sj,2012,48,18
sj,2012,49,23
sj,2012,50,20
sj,2012,51,14
sj,2013,1,12
sj,2013,2,28
sj,2013,3,11
sj,2013,4,15
sj,2013,5,13
sj,2013,6,12
sj,2013,7,14
sj,2013,8,12
sj,2013,9,12
sj,2013,10,5
sj,2013,11,2
sj,2013,12,4
sj,2013,13,6
sj,2013,14,3
sj,2013,15,4
sj,2013,16,4
sj,2013,17,5
iq,2010,26,32
iq,2010,27,32
iq,2010,28,32
iq,2010,29,33
iq,2010,30,32
iq,2010,31,30
iq,2010,32,32
iq,2010,33,27
iq,2010,34,27
iq,2010,35,27
iq,2010,36,31
iq,2010,37,37
iq,2010,38,34
iq,2010,39,36
iq,2010,40,39
iq,2010,41,38
iq,2010,42,39
iq,2010,43,38
iq,2010,44,39
iq,2010,45,38
iq,2010,46,39
iq,2010,47,41
iq,2010,48,38
iq,2010,49,35
iq,2010,50,36
iq,2010,51,43
iq,2011,52,11
iq,2011,1,14
iq,2011,2,16
iq,2011,3,9
iq,2011,4,12
iq,2011,5,9
iq,2011,6,11
iq,2011,7,24
iq,2011,8,13
iq,2011,9,11
iq,2011,10,7
iq,2011,11,7
iq,2011,12,9
iq,2011,13,8
iq,2011,14,6
iq,2011,15,3
iq,2011,16,3
iq,2011,17,7
iq,2011,18,6
iq,2011,19,4
iq,2011,20,4
iq,2011,21,5
iq,2011,22,12
iq,2011,23,3
iq,2011,24,5
iq,2011,25,4
iq,2011,26,12
iq,2011,27,4
iq,2011,28,3
iq,2011,29,4
iq,2011,30,3
iq,2011,31,3
iq,2011,32,5
iq,2011,33,5
iq,2011,34,5
iq,2011,35,6
iq,2011,36,6
iq,2011,37,5
iq,2011,38,6
iq,2011,39,8
iq,2011,40,10
iq,2011,41,13
iq,2011,42,9
iq,2011,43,5
iq,2011,44,8
iq,2011,45,16
iq,2011,46,16
iq,2011,47,8
iq,2011,48,15
iq,2011,49,10
iq,2011,50,17
iq,2011,51,14
iq,2012,52,16
iq,2012,1,7
iq,2012,2,10
iq,2012,3,14
iq,2012,4,12
iq,2012,5,13
iq,2012,6,11
iq,2012,7,19
iq,2012,8,14
iq,2012,9,11
iq,2012,10,7
iq,2012,11,7
iq,2012,12,8
iq,2012,13,5
iq,2012,14,6
iq,2012,15,4
iq,2012,16,4
iq,2012,17,13
iq,2012,18,3
