city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,15
sj,2008,20,14
sj,2008,21,10
sj,2008,22,11
sj,2008,23,13
sj,2008,24,9
sj,2008,25,16
sj,2008,26,30
sj,2008,27,27
sj,2008,28,27
sj,2008,29,30
sj,2008,30,30
sj,2008,31,30
sj,2008,32,38
sj,2008,33,26
sj,2008,34,37
sj,2008,35,26
sj,2008,36,26
sj,2008,37,30
sj,2008,38,29
sj,2008,39,42
sj,2008,40,43
sj,2008,41,33
sj,2008,42,50
sj,2008,43,56
sj,2008,44,51
sj,2008,45,51
sj,2008,46,55
sj,2008,47,52
sj,2008,48,46
sj,2008,49,39
sj,2008,50,39
sj,2008,51,37
sj,2008,52,30
sj,2009,1,27
sj,2009,2,30
sj,2009,3,27
sj,2009,4,31
sj,2009,5,32
sj,2009,6,23
sj,2009,7,24
sj,2009,8,21
sj,2009,9,17
sj,2009,10,17
sj,2009,11,16
sj,2009,12,16
sj,2009,13,13
sj,2009,14,14
sj,2009,15,11
sj,2009,16,13
sj,2009,17,13
sj,2009,18,12
sj,2009,19,14
sj,2009,20,13
sj,2009,21,11
sj,2009,22,7
sj,2009,23,12
sj,2009,24,18
sj,2009,25,27
sj,2009,26,25
sj,2009,27,29
sj,2009,28,13
sj,2009,29,15
sj,2009,30,15
sj,2009,31,18
sj,2009,32,18
sj,2009,33,18
sj,2009,34,22
sj,2009,35,23
sj,2009,36,30
sj,2009,37,27
sj,2009,38,24
sj,2009,39,27
sj,2009,40,32
sj,2009,41,35
sj,2009,42,31
sj,2009,43,31
sj,2009,44,32
sj,2009,45,32
sj,2009,46,33
sj,2009,47,29
sj,2009,48,28
sj,2009,49,32
sj,2009,50,37
sj,2009,51,31
sj,2009,52,30
sj,2010,53,24
sj,2010,1,37
sj,2010,2,31
sj,2010,3,23
sj,2010,4,35
sj,2010,5,33
sj,2010,6,34
sj,2010,7,32
sj,2010,8,36
sj,2010,9,28
sj,2010,10,19
sj,2010,11,22
sj,2010,12,18
sj,2010,13,17
sj,2010,14,18
sj,2010,15,20
sj,2010,16,14
sj,2010,17,16
sj,2010,18,13
sj,2010,19,8
sj,2010,20,13
sj,2010,21,13
sj,2010,22,13
sj,2010,23,19
sj,2010,24,23
sj,2010,25,17
sj,2010,26,6
sj,2010,27,20
sj,2010,28,24
sj,2010,29,6
