city,year,weekofyear,total_cases
sj,2008,18,20
sj,2008,19,16
sj,2008,20,17
sj,2008,21,17
sj,2008,22,20
sj,2008,23,17
sj,2008,24,20
sj,2008,25,20
sj,2008,26,25
sj,2008,27,27
sj,2008,28,25
sj,2008,29,26
sj,2008,30,26
sj,2008,31,25
sj,2008,32,29
sj,2008,33,35
sj,2008,34,32
sj,2008,35,32
sj,2008,36,37
sj,2008,37,31
sj,2008,38,32
sj,2008,39,43
sj,2008,40,40
sj,2008,41,40
sj,2008,42,47
sj,2008,43,51
sj,2008,44,51
sj,2008,45,53
sj,2008,46,48
sj,2008,47,52
sj,2008,48,48
sj,2008,49,46
sj,2008,50,43
sj,2008,51,42
sj,2008,52,34
sj,2009,1,27
sj,2009,2,29
sj,2009,3,34
sj,2009,4,33
sj,2009,5,34
sj,2009,6,24
sj,2009,7,18
sj,2009,8,18
sj,2009,9,19
sj,2009,10,15
sj,2009,11,11
sj,2009,12,10
sj,2009,13,12
sj,2009,14,10
sj,2009,15,6
sj,2009,16,7
sj,2009,17,6
sj,2009,18,8
sj,2009,19,8
sj,2009,20,9
sj,2009,21,10
sj,2009,22,7
sj,2009,23,5
sj,2009,24,6
sj,2009,25,9
sj,2009,26,8
sj,2009,27,9
sj,2009,28,13
sj,2009,29,11
sj,2009,30,12
sj,2009,31,16
sj,2009,32,21
sj,2009,33,22
sj,2009,34,20
sj,2009,35,21
sj,2009,36,28
sj,2009,37,31
sj,2009,38,27
sj,2009,39,24
sj,2009,40,34
sj,2009,41,38
sj,2009,42,31
sj,2009,43,33
sj,2009,44,31
sj,2009,45,32
sj,2009,46,35
sj,2009,47,30
sj,2009,48,26
sj,2009,49,29
sj,2009,50,29
sj,2009,51,27
sj,2009,52,26
sj,2010,53,28
sj,2010,1,39
sj,2010,2,38
sj,2010,3,42
sj,2010,4,43
sj,2010,5,42
sj,2010,6,37
sj,2010,7,24
sj,2010,8,30
sj,2010,9,30
sj,2010,10,31
sj,2010,11,30
sj,2010,12,28
sj,2010,13,29
sj,2010,14,30
sj,2010,15,29
sj,2010,16,27
sj,2010,17,31
sj,2010,18,32
sj,2010,19,29
sj,2010,20,31
sj,2010,21,32
sj,2010,22,35
sj,2010,23,33
sj,2010,24,37
sj,2010,25,33
sj,2010,26,32
sj,2010,27,36
sj,2010,28,39
sj,2010,29,32
sj,2010,30,28
sj,2010,31,33
sj,2010,32,40
sj,2010,33,33
sj,2010,34,36
sj,2010,35,40
sj,2010,36,39
sj,2010,37,41
sj,2010,38,42
sj,2010,39,39
sj,2010,40,37
sj,2010,41,38
sj,2010,42,37
sj,2010,43,38
sj,2010,44,39
sj,2010,45,39
sj,2010,46,38
sj,2010,47,38
sj,2010,48,35
sj,2010,49,35
sj,2010,50,35
sj,2010,51,29
sj,2011,52,14
sj,2011,1,16
sj,2011,2,17
sj,2011,3,22
sj,2011,4,15
sj,2011,5,15
sj,2011,6,16
sj,2011,7,14
sj,2011,8,13
sj,2011,9,9
sj,2011,10,7
sj,2011,11,6
sj,2011,12,6
sj,2011,13,5
sj,2011,14,4
sj,2011,15,3
sj,2011,16,5
sj,2011,17,3
sj,2011,18,5
sj,2011,19,4
sj,2011,20,5
sj,2011,21,4
sj,2011,22,7
sj,2011,23,5
sj,2011,24,7
sj,2011,25,11
sj,2011,26,11
sj,2011,27,8
sj,2011,28,7
sj,2011,29,7
sj,2011,30,7
sj,2011,31,8
sj,2011,32,12
sj,2011,33,14
sj,2011,34,13
sj,2011,35,13
sj,2011,36,14
sj,2011,37,13
sj,2011,38,10
sj,2011,39,13
sj,2011,40,16
sj,2011,41,16
sj,2011,42,17
sj,2011,43,17
sj,2011,44,19
sj,2011,45,9
sj,2011,46,17
sj,2011,47,18
sj,2011,48,21
sj,2011,49,19
sj,2011,50,16
sj,2011,51,16
sj,2012,52,17
sj,2012,1,29
sj,2012,2,18
sj,2012,3,20
sj,2012,4,8
sj,2012,5,12
sj,2012,6,10
sj,2012,7,11
sj,2012,8,8
sj,2012,9,8
sj,2012,10,3
sj,2012,11,5
sj,2012,12,4
sj,2012,13,4
sj,2012,14,3
sj,2012,15,4
sj,2012,16,4
sj,2012,17,4
sj,2012,18,6
sj,2012,19,5
sj,2012,20,7
sj,2012,21,5
sj,2012,22,4
sj,2012,23,11
sj,2012,24,11
sj,2012,25,10
sj,2012,26,9
sj,2012,27,7
sj,2012,28,10
sj,2012,29,8
sj,2012,30,10
sj,2012,31,10
sj,2012,32,10
sj,2012,33,18
sj,2012,34,20
sj,2012,35,17
sj,2012,36,18
sj,2012,37,20
sj,2012,38,17
sj,2012,39,21
sj,2012,40,26
sj,2012,41,18
sj,2012,42,24
sj,2012,43,24
sj,2012,44,18
sj,2012,45,23
sj,2012,46,21
sj,2012,47,21
sj,2012,48,19
sj,2012,49,24
sj,2012,50,21
sj,2012,51,16
sj,2013,1,17
sj,2013,2,25
sj,2013,3,13
sj,2013,4,16
sj,2013,5,15
sj,2013,6,17
sj,2013,7,16
sj,2013,8,12
sj,2013,9,9
sj,2013,10,3
sj,2013,11,4
sj,2013,12,3
sj,2013,13,5
sj,2013,14,3
sj,2013,15,5
sj,2013,16,5
sj,2013,17,5
iq,2010,26,20
iq,2010,27,19
iq,2010,28,19
iq,2010,29,19
iq,2010,30,20
iq,2010,31,20
iq,2010,32,20
iq,2010,33,21
iq,2010,34,21
iq,2010,35,23
iq,2010,36,22
iq,2010,37,27
iq,2010,38,27
iq,2010,39,27
iq,2010,40,31
iq,2010,41,29
iq,2010,42,29
iq,2010,43,28
iq,2010,44,28
iq,2010,45,28
iq,2010,46,28
iq,2010,47,29
iq,2010,48,30
iq,2010,49,29
iq,2010,50,27
iq,2010,51,26
iq,2011,52,18
iq,2011,1,16
iq,2011,2,12
iq,2011,3,10
iq,2011,4,16
iq,2011,5,11
iq,2011,6,11
iq,2011,7,15
iq,2011,8,14
iq,2011,9,9
iq,2011,10,10
iq,2011,11,7
iq,2011,12,9
iq,2011,13,9
iq,2011,14,7
iq,2011,15,7
iq,2011,16,7
iq,2011,17,12
iq,2011,18,10
iq,2011,19,7
iq,2011,20,6
iq,2011,21,6
iq,2011,22,9
iq,2011,23,5
iq,2011,24,6
iq,2011,25,5
iq,2011,26,4
iq,2011,27,5
iq,2011,28,3
iq,2011,29,5
iq,2011,30,3
iq,2011,31,4
iq,2011,32,5
iq,2011,33,4
iq,2011,34,4
iq,2011,35,7
iq,2011,36,6
iq,2011,37,6
iq,2011,38,5
iq,2011,39,8
iq,2011,40,11
iq,2011,41,11
iq,2011,42,10
iq,2011,43,8
iq,2011,44,7
iq,2011,45,12
iq,2011,46,17
iq,2011,47,6
iq,2011,48,10
iq,2011,49,8
iq,2011,50,17
iq,2011,51,16
iq,2012,52,9
iq,2012,1,10
iq,2012,2,12
iq,2012,3,11
iq,2012,4,13
iq,2012,5,15
iq,2012,6,15
iq,2012,7,15
iq,2012,8,15
iq,2012,9,12
iq,2012,10,10
iq,2012,11,9
iq,2012,12,8
iq,2012,13,7
iq,2012,14,7
iq,2012,15,5
iq,2012,16,6
iq,2012,17,6
iq,2012,18,4
iq,2012,19,4
iq,2012,20,4
iq,2012,21,3
iq,2012,22,3
iq,2012,23,2
iq,2012,24,3
iq,2012,25,4
iq,2012,26,2
iq,2012,27,2
iq,2012,28,3
iq,2012,29,2
iq,2012,30,3
iq,2012,31,2
iq,2012,32,5
iq,2012,33,4
iq,2012,34,2
iq,2012,35,5
iq,2012,36,2
iq,2012,37,6
iq,2012,38,6
iq,2012,39,8
iq,2012,40,6
iq,2012,41,5
iq,2012,42,9
iq,2012,43,9
iq,2012,44,13
iq,2012,45,10
iq,2012,46,7
iq,2012,47,13
iq,2012,48,6
iq,2012,49,9
iq,2012,50,10
iq,2012,51,8
iq,2013,1,14
iq,2013,2,14
iq,2013,3,15
iq,2013,4,23
iq,2013,5,23
iq,2013,6,26
iq,2013,7,23
iq,2013,8,16
iq,2013,9,16
iq,2013,10,9
iq,2013,11,7
iq,2013,12,8
iq,2013,13,6
iq,2013,14,7
iq,2013,15,4
iq,2013,16,4
iq,2013,17,3
iq,2013,18,5
iq,2013,19,2
iq,2013,20,4
iq,2013,21,3
iq,2013,22,2
iq,2013,23,3
iq,2013,24,3
iq,2013,25,3
iq,2013,26,3
